recall_score,higher_edu,far_from_uni,adhd,low_focus,text_complexity,age,reads_often,not_tired
49.90115261853565,0,0,0,1,79.87543322299338,33,1,0
45.69439387396961,0,1,0,0,57.94205933688952,27,0,0
43.07734201590663,0,0,0,0,35.17712083494427,25,0,1
46.80345957170287,0,0,0,0,31.64215683267227,27,1,1
61.015156738103435,0,1,0,0,78.80096749823807,38,1,1
57.32149691343854,1,1,1,1,67.91435865302864,15,0,1
54.111987405898134,1,1,0,0,24.12003993452213,21,1,0
63.97985502478819,1,0,0,0,58.23073500510256,20,0,1
56.40174660869822,1,0,0,1,55.620890192138056,36,0,0
42.826731702705516,0,0,0,0,57.37537833709212,24,0,0
49.78351562716712,1,1,1,1,50.057523662962,33,0,1
49.74602992932023,1,1,0,1,27.43929797128826,35,0,1
70.38611608400736,1,0,0,0,70.08581237685775,21,1,0
34.5296201474548,0,0,1,1,58.90778259097229,32,0,0
62.169580639458644,1,0,0,0,46.20094634241478,28,0,1
43.97988105551483,0,0,0,1,58.98707299939692,29,1,0
41.653586103092564,1,1,1,1,37.510963314344366,23,0,0
53.56636104845595,1,0,0,1,48.61631270846134,26,1,0
67.67612100785877,1,0,0,0,61.40364132928116,25,1,0
70.63590404591136,1,0,0,0,57.320031916977825,32,1,1
57.21963864970864,1,0,1,1,64.72005957786835,34,0,1
48.619049385180325,0,0,0,1,70.8584462536864,30,0,1
55.78951003557463,1,1,0,1,50.48395654172411,45,1,0
56.507157295351355,1,0,0,1,45.62306491182228,33,1,0
34.553096416677604,0,0,0,1,40.313853536750884,21,0,1
40.56470691481785,0,1,0,0,41.10814592273023,29,0,0
62.835153295137346,1,1,0,0,37.256737239100325,30,1,1
51.85722727581312,1,1,0,1,38.15267263522446,33,1,0
47.09352770646706,0,0,0,0,59.798522669900755,51,1,0
54.92977308066301,1,1,0,1,46.368504173786135,30,0,1
52.655352074667015,0,0,0,0,64.7494603038391,43,1,1
54.49024523845207,0,0,0,0,75.68410119094503,36,1,0
65.45032307513455,1,1,0,0,60.06539325164992,20,1,0
34.6288752335096,0,0,0,1,32.153063768848625,44,0,1
37.79387096106471,0,0,0,1,40.948415342603134,28,0,1
40.244065656510266,0,0,0,0,24.854142840820813,26,0,1
60.068592978716254,1,1,0,0,56.7687632349333,35,0,0
58.75920638673241,1,0,0,0,36.13372083584599,20,0,1
77.76322346844263,1,1,0,0,71.89463653622313,35,1,1
58.867074266376875,1,0,0,0,42.07975191569025,45,0,1
54.35712346002798,1,0,0,0,25.726976282033323,22,0,1
48.74021556369216,0,0,0,0,70.98922862387036,20,0,0
67.09986474036913,1,1,0,0,52.53741530351897,26,0,1
43.955533617230415,0,0,0,0,57.605214779384816,40,0,0
53.79352258813577,1,1,0,1,44.884454531814,34,0,1
51.05946044336804,1,0,0,0,42.22122485937551,23,0,0
69.53233303786455,1,1,0,1,70.96679038946087,37,1,1
40.52363031907801,0,0,0,0,32.9595973052602,30,0,1
56.48052669367691,1,1,0,1,55.26213347538635,31,1,0
36.37941191526473,0,0,0,0,30.297147785121705,36,0,0
47.77227259171979,0,0,0,0,61.38415863978225,37,0,0
50.239792809681425,1,1,1,1,33.58805008081917,30,1,1
39.79958981384658,0,0,1,1,61.05902845155238,28,1,0
55.43443029008271,1,1,0,0,47.113587441941675,27,0,0
45.827019155659315,0,1,0,0,44.748667907040165,30,1,0
54.505700008029635,1,1,0,1,51.78794367503349,40,0,1
34.306402156022514,0,0,1,1,52.48576126270677,44,0,1
40.90145150242062,0,0,0,0,33.143139129058575,24,1,0
62.73745812632942,1,1,0,0,60.665871165849,30,0,0
62.48428327336263,1,1,0,0,53.452180283080544,35,1,0
56.03795164265906,1,1,0,0,44.40193073545515,39,0,0
52.95510008165345,0,1,0,0,56.024484545131415,26,0,1
61.74776174235381,1,1,0,0,55.48385663784457,43,0,1
41.63563278278483,0,0,0,0,29.738258553932347,29,0,1
54.67007490194233,1,0,0,1,48.583338765743314,46,1,0
50.90168530110302,1,1,0,0,29.149647404582492,20,0,0
51.0788974805503,1,0,0,0,32.74117686380764,40,0,0
64.25668340945423,1,1,0,1,63.993986936026616,23,1,1
42.372248733927364,0,0,0,0,44.01516165440785,15,0,1
