recall_score_1,recall_score_0,higher_edu_1,higher_edu_0,ind_type
66.70681882073805,49.90115261853565,0,0,Never taker
60.71117493995928,45.69439387396961,0,0,Never taker
57.279406116857196,43.07734201590663,0,0,Never taker
58.76356399736525,46.80345957170287,0,0,Never taker
78.53365613293408,61.015156738103435,0,0,Never taker
57.32149691343854,38.97981830867234,1,1,Always taker
54.111987405898134,36.304154721995424,1,0,Complier
63.97985502478819,48.36015808370616,1,1,Always taker
56.40174660869822,38.53060023962582,1,1,Always taker
59.97061837155689,42.826731702705516,0,0,Never taker
49.78351562716712,36.01817253258855,1,1,Always taker
49.74602992932023,33.90577416883623,1,0,Complier
70.38611608400736,54.779088651901624,1,1,Always taker
50.90738385427301,34.5296201474548,0,0,Never taker
62.169580639458644,46.52290428240572,0,1,Denier
58.999119694632306,43.97988105551483,0,0,Never taker
41.653586103092564,27.738889761217628,1,1,Always taker
53.56636104845595,44.26308747547806,1,1,Always taker
67.67612100785877,51.6005289951344,1,1,Always taker
70.63590404591136,54.28755552959051,1,1,Always taker
57.21963864970864,38.303984176038696,1,1,Always taker
63.582166555844225,48.619049385180325,0,0,Never taker
55.78951003557463,40.83506656863985,1,1,Always taker
56.507157295351355,38.30066580394101,1,1,Always taker
49.642527645388796,34.553096416677604,0,0,Never taker
54.37497324448943,40.56470691481785,0,0,Never taker
62.835153295137346,47.36483028286433,1,0,Complier
51.85722727581312,37.50625554037768,1,1,Always taker
62.94108674326121,47.09352770646706,0,0,Never taker
54.92977308066301,39.610129304917066,1,1,Always taker
72.93224718045582,52.655352074667015,0,0,Never taker
71.78733649171751,54.49024523845207,0,0,Never taker
65.45032307513455,48.74598387002943,1,0,Complier
48.98122899639057,34.6288752335096,0,0,Never taker
53.05749593135636,37.79387096106471,0,0,Never taker
54.111658880626905,40.244065656510266,0,0,Never taker
60.068592978716254,45.36009098631046,1,1,Always taker
58.75920638673241,42.781843018108695,1,1,Always taker
77.76322346844263,58.77957584347197,1,0,Complier
58.867074266376875,44.99637550091847,1,1,Always taker
54.35712346002798,38.208213721362306,1,1,Always taker
69.17102985722676,48.74021556369216,0,0,Never taker
67.09986474036913,47.863284257336375,1,1,Always taker
59.99809346204175,43.955533617230415,0,0,Never taker
53.79352258813577,38.52464206225923,1,1,Always taker
51.05946044336804,40.78658318835993,0,1,Denier
69.53233303786455,50.912609719001686,1,0,Complier
56.503242934583945,40.52363031907801,0,0,Never taker
56.48052669367691,41.78903664699972,1,0,Complier
53.116498627089506,36.37941191526473,0,0,Never taker
64.30613437345676,47.77227259171979,0,0,Never taker
50.239792809681425,38.44566064274879,1,1,Always taker
56.61907886341342,39.79958981384658,0,0,Never taker
